Code,Date,Open,High,Low,Close,Volume,Value,Trades
SBR,17/04/2012,0.140,0.140,0.140,0.140,50000,7000.000,3
SBR,18/04/2012,0.135,0.135,0.135,0.135,187163,25267.005,7
SBR,19/04/2012,0.135,0.135,0.135,0.135,14000,1890.000,1
SBR,20/04/2012,0.145,0.155,0.145,0.155,15000,2225.000,2
SBR,23/04/2012,0.000,0.000,0.000,0.155,0,0.000,0
SBR,24/04/2012,0.000,0.000,0.000,0.155,13000,1755.000,1
SBR,26/04/2012,0.145,0.150,0.145,0.150,100001,14525.150,3
SBR,27/04/2012,0.000,0.000,0.000,0.150,0,0.000,0
SBR,30/04/2012,0.150,0.150,0.150,0.150,31999,4799.850,2
SBR,01/05/2012,0.150,0.150,0.150,0.150,120000,18000.000,4
SBR,02/05/2012,0.160,0.160,0.150,0.150,134218,20740.200,8
SBR,03/05/2012,0.145,0.150,0.145,0.150,35782,5242.300,2
SBR,04/05/2012,0.145,0.145,0.145,0.145,14071,2040.295,1
SBR,07/05/2012,0.145,0.155,0.140,0.140,137953,19631.245,6
SBR,08/05/2012,0.140,0.150,0.140,0.150,19600,2790.000,2
SBR,09/05/2012,0.000,0.000,0.000,0.150,0,0.000,0
SBR,10/05/2012,0.150,0.155,0.140,0.155,215000,32150.500,17
SBR,11/05/2012,0.140,0.140,0.140,0.140,75000,10500.000,2
SBR,14/05/2012,0.000,0.000,0.000,0.140,0,0.000,0
SBR,15/05/2012,0.135,0.150,0.135,0.150,204000,27600.000,6
SBR,16/05/2012,0.130,0.130,0.130,0.130,85000,11050.000,4
SBR,17/05/2012,0.000,0.000,0.000,0.130,0,0.000,0
SBR,18/05/2012,0.140,0.140,0.120,0.120,216000,27835.000,9
SBR,21/05/2012,0.125,0.125,0.110,0.110,1724000,199910.000,13
SBR,22/05/2012,0.110,0.110,0.110,0.110,161600,17776.000,1
SBR,23/05/2012,0.000,0.000,0.000,0.110,0,0.000,0
SBR,24/05/2012,0.110,0.110,0.110,0.110,35000,3850.000,1
SBR,25/05/2012,0.125,0.125,0.125,0.125,60000,7500.000,4
