Code,Date,Open,High,Low,Close,Volume,Value,Trades
SE1,20/11/2018,0.000,0.000,0.000,0.105,0,0.000,0
SE1,21/11/2018,0.000,0.000,0.000,0.105,0,0.000,0
SE1,22/11/2018,0.000,0.000,0.000,0.105,0,0.000,0
SE1,23/11/2018,0.110,0.110,0.110,0.110,46800,5148.000,1
SE1,26/11/2018,0.105,0.105,0.105,0.105,149453,15692.565,9
SE1,27/11/2018,0.000,0.000,0.000,0.105,0,0.000,0
SE1,28/11/2018,0.000,0.000,0.000,0.105,0,0.000,0
SE1,29/11/2018,0.120,0.120,0.120,0.120,130537,15664.440,5
SE1,30/11/2018,0.125,0.140,0.125,0.140,905851,122333.350,36
SE1,03/12/2018,0.000,0.000,0.000,0.130,0,0.000,0
SE1,04/12/2018,0.000,0.000,0.000,0.130,0,0.000,0
SE1,05/12/2018,0.120,0.120,0.120,0.120,867,104.040,1
SE1,06/12/2018,0.115,0.115,0.115,0.115,15000,1725.000,1
SE1,10/12/2018,0.000,0.000,0.000,0.125,0,0.000,0
SE1,11/12/2018,0.120,0.120,0.120,0.120,53528,6423.360,6
SE1,12/12/2018,0.120,0.120,0.120,0.120,124472,14936.640,6
SE1,13/12/2018,0.115,0.120,0.115,0.120,90000,10375.000,4
SE1,14/12/2018,0.115,0.120,0.110,0.120,242511,27295.035,13
SE1,17/12/2018,0.115,0.120,0.110,0.110,244449,27308.605,9
SE1,18/12/2018,0.110,0.110,0.105,0.105,579000,61135.000,8
SE1,19/12/2018,0.110,0.110,0.105,0.110,330000,34847.115,7
SE1,20/12/2018,0.105,0.105,0.105,0.105,424427,44564.835,6
SE1,21/12/2018,0.105,0.105,0.105,0.105,41164,4322.220,3
SE1,24/12/2018,0.000,0.000,0.000,0.105,0,0.000,0
SE1,27/12/2018,0.100,0.100,0.095,0.099,536466,53112.960,13
SE1,28/12/2018,0.099,0.099,0.097,0.098,262350,25679.474,8
SE1,31/12/2018,0.100,0.105,0.097,0.105,98516,10038.852,11
SE1,02/01/2019,0.105,0.105,0.105,0.105,37574,3945.270,8
SE1,03/01/2019,0.110,0.115,0.105,0.105,368091,39957.910,22
SE1,04/01/2019,0.110,0.110,0.105,0.105,57043,6237.560,12
SE1,07/01/2019,0.115,0.115,0.115,0.115,57196,6577.540,13
SE1,08/01/2019,0.120,0.120,0.115,0.120,133677,16025.320,19
SE1,09/01/2019,0.115,0.120,0.110,0.110,223873,26191.710,27
SE1,10/01/2019,0.115,0.115,0.110,0.115,68092,7828.390,17
SE1,11/01/2019,0.120,0.120,0.110,0.110,182767,21653.600,21
SE1,14/01/2019,0.120,0.120,0.110,0.110,70359,8294.845,20
SE1,15/01/2019,0.115,0.120,0.115,0.120,150107,17981.940,24
SE1,16/01/2019,0.125,0.135,0.120,0.130,376574,48685.680,15
SE1,17/01/2019,0.130,0.140,0.130,0.140,196704,27186.845,11
SE1,18/01/2019,0.135,0.135,0.130,0.130,147218,19184.585,8
SE1,21/01/2019,0.135,0.135,0.135,0.135,3556,480.060,3
SE1,22/01/2019,0.135,0.135,0.135,0.135,103098,13918.230,4
SE1,23/01/2019,0.130,0.135,0.130,0.135,76069,10023.165,7
SE1,24/01/2019,0.135,0.140,0.130,0.130,476448,63967.865,26
SE1,25/01/2019,0.130,0.135,0.125,0.135,239159,31889.165,10
SE1,29/01/2019,0.130,0.130,0.125,0.125,17614,2217.820,4
SE1,30/01/2019,0.000,0.000,0.000,0.125,0,0.000,0
SE1,31/01/2019,0.125,0.125,0.115,0.125,687990,82114.570,23
SE1,01/02/2019,0.115,0.120,0.110,0.120,142509,16174.050,16
SE1,04/02/2019,0.120,0.125,0.115,0.125,85108,10002.550,7
SE1,05/02/2019,0.125,0.125,0.125,0.125,6250,781.250,2
SE1,06/02/2019,0.115,0.120,0.115,0.115,129973,14971.890,9
SE1,07/02/2019,0.115,0.120,0.115,0.120,221500,25505.000,6
SE1,08/02/2019,0.120,0.120,0.120,0.120,251948,30233.760,6
SE1,11/02/2019,0.115,0.115,0.110,0.110,100000,11288.000,4
SE1,12/02/2019,0.115,0.115,0.100,0.110,981453,105567.280,23
SE1,13/02/2019,0.110,0.110,0.110,0.110,9150,1006.500,1
SE1,14/02/2019,0.110,0.110,0.110,0.110,210117,23112.870,5
SE1,15/02/2019,0.110,0.110,0.100,0.105,138705,14466.975,12
SE1,18/02/2019,0.110,0.110,0.105,0.110,232554,25330.940,7
SE1,19/02/2019,0.105,0.110,0.105,0.110,146205,15515.945,7
SE1,20/02/2019,0.110,0.115,0.105,0.110,230071,24832.810,14
SE1,21/02/2019,0.100,0.105,0.100,0.100,336795,33692.915,22
SE1,22/02/2019,0.105,0.105,0.105,0.105,8651,908.355,4
SE1,25/02/2019,0.105,0.130,0.105,0.125,1075131,130651.460,47
SE1,26/02/2019,0.130,0.135,0.130,0.130,745447,96972.845,29
SE1,27/02/2019,0.130,0.130,0.120,0.120,782034,96612.190,22
SE1,28/02/2019,0.120,0.120,0.115,0.115,619885,73043.490,16
SE1,01/03/2019,0.115,0.115,0.105,0.115,466708,51760.825,25
SE1,04/03/2019,0.115,0.115,0.115,0.115,75000,8625.000,5
SE1,05/03/2019,0.110,0.110,0.110,0.110,36742,4041.620,2
SE1,06/03/2019,0.000,0.000,0.000,0.110,0,0.000,0
SE1,07/03/2019,0.000,0.000,0.000,0.110,0,0.000,0
SE1,08/03/2019,0.115,0.130,0.115,0.125,366765,44647.825,20
SE1,11/03/2019,0.125,0.125,0.120,0.120,250486,30089.720,12
SE1,12/03/2019,0.125,0.130,0.125,0.125,160000,20003.600,11
SE1,13/03/2019,0.130,0.130,0.125,0.130,2033990,263484.775,39
SE1,14/03/2019,0.135,0.145,0.130,0.130,2367224,322392.010,140
SE1,15/03/2019,0.130,0.130,0.130,0.130,220000,28600.000,3
SE1,18/03/2019,0.130,0.130,0.125,0.125,1150520,145249.615,29
SE1,19/03/2019,0.130,0.130,0.130,0.130,1249922,162489.860,37
SE1,20/03/2019,0.130,0.130,0.120,0.125,3364961,427829.705,52
SE1,21/03/2019,0.130,0.130,0.125,0.125,1327920,172379.600,23
SE1,22/03/2019,0.130,0.135,0.120,0.120,2172159,275127.915,47
SE1,25/03/2019,0.120,0.120,0.110,0.110,1629509,190399.105,37
SE1,26/03/2019,0.120,0.120,0.120,0.120,4000,480.000,1
SE1,27/03/2019,0.115,0.125,0.110,0.110,1465137,163057.065,27
SE1,28/03/2019,0.115,0.120,0.110,0.115,1283672,144332.270,18
SE1,29/03/2019,0.115,0.115,0.110,0.110,653428,74144.220,11
SE1,01/04/2019,0.115,0.115,0.115,0.115,147159,16923.285,2
SE1,02/04/2019,0.115,0.125,0.115,0.120,1194698,143270.700,50
SE1,03/04/2019,0.120,0.120,0.120,0.120,706184,84742.080,24
SE1,04/04/2019,0.120,0.120,0.115,0.115,880280,102207.110,21
SE1,05/04/2019,0.115,0.120,0.115,0.115,446097,51621.820,10
SE1,08/04/2019,0.120,0.120,0.120,0.120,592109,71053.080,13
SE1,09/04/2019,0.120,0.120,0.110,0.110,785732,92907.670,23
SE1,10/04/2019,0.120,0.120,0.115,0.115,443692,53099.580,20
SE1,11/04/2019,0.120,0.120,0.115,0.115,773026,89638.120,13
SE1,12/04/2019,0.115,0.115,0.115,0.115,494663,56886.245,11
SE1,15/04/2019,0.120,0.120,0.115,0.115,1092181,125620.815,18
SE1,16/04/2019,0.115,0.120,0.115,0.115,1787041,206194.715,31
SE1,17/04/2019,0.115,0.130,0.115,0.125,2347964,286735.587,58
SE1,18/04/2019,0.125,0.140,0.120,0.140,944910,125217.655,55
SE1,23/04/2019,0.145,0.145,0.130,0.135,1344436,188868.120,50
SE1,24/04/2019,0.140,0.160,0.120,0.120,9348225,1310866.753,249
SE1,26/04/2019,0.120,0.135,0.115,0.115,1477243,181840.985,59
SE1,29/04/2019,0.115,0.120,0.110,0.110,662187,76117.970,24
SE1,30/04/2019,0.115,0.115,0.110,0.115,612802,69916.790,20
SE1,01/05/2019,0.115,0.115,0.115,0.115,50898,5853.270,3
SE1,02/05/2019,0.115,0.120,0.115,0.115,197824,23124.760,7
SE1,03/05/2019,0.110,0.110,0.105,0.110,1969605,214592.855,37
SE1,06/05/2019,0.110,0.110,0.105,0.110,432927,46718.755,16
SE1,07/05/2019,0.110,0.115,0.105,0.115,278428,30188.975,17
SE1,08/05/2019,0.105,0.110,0.099,0.110,1036442,105368.720,25
SE1,09/05/2019,0.105,0.105,0.105,0.105,125016,13126.680,1
SE1,10/05/2019,0.105,0.110,0.105,0.110,158621,17155.205,4
SE1,13/05/2019,0.110,0.110,0.100,0.105,718258,74570.060,14
SE1,14/05/2019,0.105,0.110,0.105,0.105,248109,26576.445,9
SE1,15/05/2019,0.110,0.115,0.105,0.115,538636,60263.880,16
SE1,16/05/2019,0.110,0.120,0.110,0.120,508888,57048.140,12
SE1,17/05/2019,0.120,0.125,0.110,0.110,422633,47948.780,10
SE1,20/05/2019,0.115,0.120,0.115,0.120,125000,14500.000,3
SE1,21/05/2019,0.115,0.115,0.110,0.110,590389,66094.735,13
SE1,22/05/2019,0.110,0.110,0.105,0.105,141000,15260.000,4
SE1,23/05/2019,0.105,0.110,0.100,0.105,690750,71739.350,14
SE1,24/05/2019,0.105,0.105,0.105,0.105,400881,42092.505,6
SE1,27/05/2019,0.105,0.105,0.105,0.105,204500,21472.500,9
SE1,28/05/2019,0.110,0.110,0.110,0.110,386279,42490.690,7
SE1,29/05/2019,0.110,0.110,0.110,0.110,161325,17745.750,6
SE1,30/05/2019,0.110,0.110,0.105,0.105,282154,29653.670,10
SE1,31/05/2019,0.105,0.110,0.105,0.110,435063,46066.930,9
SE1,03/06/2019,0.110,0.110,0.105,0.105,307564,32701.750,7
SE1,04/06/2019,0.105,0.105,0.105,0.105,345059,36231.195,6
SE1,05/06/2019,0.105,0.105,0.105,0.105,34000,3570.000,2
SE1,06/06/2019,0.105,0.105,0.105,0.105,94429,9915.045,5
SE1,07/06/2019,0.110,0.110,0.110,0.110,203566,22392.260,4
SE1,11/06/2019,0.110,0.110,0.105,0.105,977690,107450.900,19
SE1,12/06/2019,0.110,0.115,0.110,0.110,460270,51283.210,15
